"zzp";"sp";"ssp";"sw";"kpw";"kpp";"poA";"poN";"poT";"po";"plec";"staz";"kierunek";"zmiana";"roddzial";"staz.klasa"
"1";10;8;18;16;4;4;24;25;26;75;"K";30;"PO";"Dwa razy";"nie";"d"
"2";11;7;17;8;6;6;23;21;16;60;"K";5;"PO";"Trzy i więcej";"nie";"s"
"3";4;8;24;12;4;4;22;22;22;66;"K";11;"PO";"Dwa razy";"nie";"d"
"4";6;9;24;16;4;4;28;17;30;75;"K";18;"PO";"Dwa razy";"nie";"d"
"5";6;10;22;5;6;4;22;23;19;64;"K";28;"PO";"Raz";"nie";"d"
"6";4;9;23;13;4;4;18;21;20;59;"K";26;"PO";"Dwa razy";"nie";"d"
"7";8;10;17;8;4;4;13;18;18;49;"K";30;"PO";"Trzy i więcej";"nie";"d"
"8";7;9;21;16;6;6;18;21;18;57;"K";28;"PO";"Dwa razy";"nie";"d"
"9";13;8;25;8;6;4;22;18;23;63;"K";29;"PO";"Dwa razy";"nie";"d"
"10";8;10;23;5;6;4;21;24;14;59;"K";28;"PO";"Raz";"nie";"d"
"11";12;5;11;8;5;6;13;16;15;44;"K";20;"PO";"Nigdy";"nie";"d"
"12";4;9;27;15;4;4;19;19;16;54;"K";20;"PO";"Trzy i więcej";"nie";"d"
"13";8;10;19;8;8;4;21;23;18;62;"K";23;"PO";"Dwa razy";"tak";"d"
"14";6;10;21;8;6;4;28;26;32;86;"K";22;"PO";"Trzy i więcej";"nie";"d"
"15";3;11;29;8;4;4;24;17;18;59;"K";30;"PO";"Dwa razy";"tak";"d"
"16";6;9;26;8;4;4;33;20;31;84;"K";31;"PO";"Trzy i więcej";"nie";"d"
"17";11;8;18;12;4;4;21;23;19;63;"K";23;"PO";"Dwa razy";"tak";"d"
"18";3;11;35;20;4;6;16;12;10;38;"K";1;"PO";"Nigdy";"nie";"m"
"19";7;11;20;8;5;4;21;16;21;58;"K";20;"PO";"Trzy i więcej";"nie";"d"
"20";12;10;24;16;4;4;34;23;23;80;"K";18;"PO";"Nigdy";"tak";"d"
"21";3;11;28;16;4;4;32;22;33;87;"K";15;"PO";"Trzy i więcej";"tak";"d"
"22";6;10;25;8;4;4;25;16;21;62;"K";30;"PO";"Trzy i więcej";"tak";"d"
"23";12;8;17;16;4;6;18;16;13;47;"K";30;"PO";"Raz";"tak";"d"
"24";6;10;28;16;4;4;23;18;22;63;"K";6;"PO";"Nigdy";"nie";"s"
"25";9;9;25;16;6;4;27;27;34;88;"K";26;"PO";"Nigdy";"nie";"d"
"26";9;9;17;7;7;9;19;24;19;62;"K";24;"PO";"Nigdy";"nie";"d"
"27";6;10;22;4;7;4;20;22;21;63;"K";20;"RM";"Dwa razy";"nie";"d"
"28";7;11;15;9;5;4;15;13;7;35;"M";5;"PO";"Trzy i więcej";"nie";"s"
"29";4;11;30;16;6;6;28;15;6;49;"K";26;"PO";"Raz";"nie";"d"
"30";4;10;19;12;4;4;25;24;19;68;"K";25;"PO";"Nigdy";"tak";"d"
"31";3;9;29;16;4;4;22;15;26;63;"K";36;"RM";"Trzy i więcej";"nie";"d"
"32";12;9;16;6;4;4;24;23;21;68;"K";26;"PO";"Nigdy";"nie";"d"
"33";8;10;23;13;7;12;19;13;13;45;"M";1;"PO";"Raz";"tak";"m"
"34";3;9;26;6;6;4;31;29;34;94;"K";30;"PO";"Trzy i więcej";"tak";"d"
"35";3;8;13;4;5;4;22;23;26;71;"K";35;"RM";"Nigdy";"nie";"d"
"36";10;10;23;16;5;8;23;26;26;75;"K";26;"PO";"Nigdy";"nie";"d"
"37";6;9;22;8;4;5;21;31;13;65;"K";35;"RM";"Nigdy";"nie";"d"
"38";7;10;24;16;5;5;23;24;16;63;"K";25;"PO";"Nigdy";"nie";"d"
"39";6;10;24;8;8;5;25;21;26;72;"K";22;"PO";"Nigdy";"nie";"d"
"40";5;10;25;12;4;4;21;16;15;52;"K";25;"PO";"Trzy i więcej";"nie";"d"
"41";12;9;20;4;9;4;16;27;13;56;"K";32;"PO";"Trzy i więcej";"nie";"d"
"42";15;5;20;8;8;14;15;12;13;40;"K";33;"PO";"Raz";"nie";"d"
"43";6;9;29;14;4;4;21;14;21;56;"K";23;"PO";"Trzy i więcej";"nie";"d"
"44";6;10;30;16;5;4;36;32;33;101;"K";26;"PO";"Dwa razy";"tak";"d"
"45";4;11;28;16;4;4;36;32;37;105;"K";28;"PO";"Trzy i więcej";"nie";"d"
"46";5;6;17;7;4;4;15;12;12;39;"K";5;"PO";"Raz";"nie";"s"
"47";7;9;24;13;6;12;19;20;23;62;"K";20;"RM";"Dwa razy";"nie";"d"
"48";12;10;28;16;4;4;24;15;20;59;"K";28;"PO";"Trzy i więcej";"tak";"d"
"49";3;9;30;12;4;4;36;31;34;101;"K";35;"PO";"Dwa razy";"nie";"d"
"50";8;10;18;15;5;4;17;13;21;51;"K";0;"PO";"Nigdy";"nie";"m"
"51";4;11;32;16;4;4;34;21;35;90;"K";30;"RM";"Trzy i więcej";"nie";"d"
"52";7;10;22;8;6;4;18;14;14;46;"K";30;"PO";"Trzy i więcej";"tak";"d"
"53";15;6;14;8;5;8;7;9;9;25;"K";33;"PO";"Dwa razy";"nie";"d"
"54";4;9;21;10;4;4;20;19;17;56;"K";26;"PO";"Raz";"nie";"d"
"55";6;10;21;16;4;4;23;19;24;66;"K";34;"RM";"Dwa razy";"nie";"d"
